"Route","Bike","Location","Start Time","Time (secs)","Stopped Time (secs)","Distance (km)","Average Speed (km/h)","Fastest Speed (km/h)","Ascent (metres)","Average Heart Rate (bpm)","Maximum Heart Rate (bpm)","Average Cadence (rpm)","Maximum Cadence (rpm)"
"",Nukeproof,"","2021-10-12 06:39:05",4363,19317,18.15,14.97,35.94,140,122,150,44,87
"","Santa Cruz","수원시","2021-10-12 17:06:54",4199,1162,16.31,13.98,39.71,103,116,158,43,86
"",Nukeproof,"안양시","2021-10-13 06:19:39",3953,717,17.22,15.69,39.63,108,127,158,49,90
"","Santa Cruz","","2021-10-13 17:38:41",3850,886,16.62,15.54,39.59,104,122,155,36,95
"","Santa Cruz","안양시","2021-10-14 06:34:25",3665,575,16.61,16.32,41.2,96,125,158,43,97
"","Santa Cruz","수원시","2021-10-14 17:10:24",3981,848,16.66,15.07,39.21,94,112,142,42,107
"","Santa Cruz","안양시","2021-10-15 06:14:13",3667,527,16.83,16.52,36.35,90,120,153,46,99
"","Santa Cruz","","2021-10-15 17:04:29",4172,1127,16.31,14.07,39.83,82,114,149,45,86
"",Nukeproof,"남양주시","2021-10-16 08:15:55",7103,5610,32.8,16.63,30.68,23,108,146,46,115
"",Nukeproof,"남양주시","2021-10-17 10:03:33",16710,8767,84.33,18.17,44.11,249,117,150,60,144
"",Nukeproof,"안양시","2021-10-18 06:33:36",4267,849,17.38,14.67,34.1,120,117,143,49,101
"",Nukeproof,"","2021-10-18 20:26:30",3807,388,17.69,16.73,39.76,99,126,155,48,102
"","Santa Cruz","안양시","2021-10-20 06:31:17",2678,1372,12.65,17.01,36.47,71,124,151,53,103
"","Santa Cruz","수원시","2021-10-20 17:10:59",3101,3084,12.83,14.9,36.22,88,115,148,36,104
"",Wilier,"안양시","2021-10-21 06:32:22",3923,1234,17.84,16.37,32.52,101,119,170,48,101
"",Wilier,"고성군","2021-10-22 08:02:59",3032,5293,12.38,14.69,23.83,0,"","",32,98
"",Nukeproof,"","2021-10-22 14:48:13",4493,655,19.25,15.42,33.84,60,"","",50,105
"",Nukeproof,"안양시","2021-10-25 06:32:16",3704,1629,16.58,16.12,34.76,107,124,151,46,94
"","Santa Cruz","수원시","2021-10-25 19:19:06",4057,1024,16.8,14.9,34.98,91,116,151,40,99
"",Nukeproof,"안양시","2021-10-26 06:42:18",4082,36823,18.81,16.59,35.15,106,81,81,47,103
"","Santa Cruz","수원시","2021-10-26 18:08:05",4295,909,16.71,14.01,39.46,97,105,148,40,95
"","Santa Cruz","안양시","2021-10-27 06:39:04",3703,1629,16.72,16.26,39.21,100,123,148,48,97
"","Santa Cruz","수원시","2021-10-27 17:16:12",4816,958,16.83,12.58,38.71,89,108,151,36,141
"","Santa Cruz","안양시","2021-10-28 06:46:15",3757,896,17.03,16.32,39.34,98,124,154,46,107
"","Santa Cruz","수원시","2021-10-28 17:22:52",3841,552,16.74,15.69,38.59,89,119,149,43,97
"","Santa Cruz","안양시","2021-10-29 06:36:39",3691,465,16.87,16.45,37.84,92,125,155,50,103
"","Santa Cruz","수원시","2021-10-29 17:07:14",4185,660,16.23,13.96,31.62,94,113,146,48,122
"","Santa Cruz","군포시","2021-10-31 11:10:06",3861,3944,14.14,13.18,47.3,371,125,174,47,104
"","Santa Cruz","수원시","2021-11-01 18:07:55",3981,550,16.87,15.26,35.73,95,"","",42,96
"","Santa Cruz","안양시","2021-11-02 06:56:44",3712,395,16.87,16.36,41.45,103,"","",51,113
"","Santa Cruz","","2021-11-02 17:12:21",351,306,1.38,14.16,33.86,0,101,127,41,89
"","Santa Cruz","수원시","2021-11-02 17:23:25",4161,1434,17.06,14.76,34.86,91,99,142,38,99
"","Santa Cruz","안양시","2021-11-03 06:34:27",3739,754,16.86,16.23,40.21,80,123,151,52,110
"",Nukeproof,"수원시","2021-11-03 19:10:58",3999,463,17.02,15.33,37.52,92,115,147,46,104
"",Nukeproof,"안양시","2021-11-04 06:36:41",3903,581,17.17,15.84,40.82,89,124,158,53,94
"",Nukeproof,"수원시","2021-11-04 17:19:46",4185,1225,17.22,14.81,40.16,97,114,150,48,95
"",Nukeproof,"","2021-11-07 16:44:51",5247,1246,21.49,14.75,37.26,205,"","",56,99
"",Nukeproof,"","2021-11-11 06:35:47",4003,589,17.23,15.5,37.79,115,126,155,53,119
"",Nukeproof,"","2021-11-11 17:10:19",4388,724,16.98,13.93,36.08,126,114,143,50,94
"",Nukeproof,"안양시","2021-11-12 06:25:46",4131,715,17.2,14.99,40.55,113,81,149,50,111
"",Nukeproof,"수원시","2021-11-12 17:02:35",4324,620,16.95,14.11,38.05,80,100,144,47,96
"",Nukeproof,"","2021-11-15 06:28:51",4125,867,17.34,15.13,35.68,105,108,155,47,108
"",Nukeproof,"수원시","2021-11-15 19:39:42",4168,460,16.87,14.58,40.29,137,113,149,46,93
"",Nukeproof,"","2021-11-16 06:40:13",4190,698,17.35,14.9,36.47,104,122,149,51,104
"",Nukeproof,"수원시","2021-11-16 18:17:21",4459,788,17.1,13.8,33.44,174,111,150,44,107
"",Nukeproof,"안양시","2021-11-17 06:29:10",4201,604,17.17,14.72,36.21,103,103,141,48,99
"",Nukeproof,"수원시","2021-11-17 17:08:19",4228,528,17.17,14.62,34.23,103,114,144,48,103
"",Nukeproof,"안양시","2021-11-18 06:37:58",4213,575,17.25,14.74,33.84,100,98,145,50,103
"",Nukeproof,"수원시","2021-11-18 17:37:17",4265,668,17.02,14.36,39.1,91,81,133,44,100
"",Nukeproof,"안양시","2021-11-19 06:49:18",4085,758,17.23,15.19,31.34,95,111,152,47,97
"",Nukeproof,"수원시","2021-11-19 17:07:42",4310,482,16.94,14.15,37.26,95,118,148,44,94
"",Nukeproof,"안양시","2021-11-21 15:24:33",6025,2459,22.46,13.42,37.0,284,130,174,43,94
"",Nukeproof,"안양시","2021-11-22 06:43:14",4036,608,17.21,15.35,34.89,107,119,149,46,99
"",Nukeproof,"수원시","2021-11-22 17:27:32",4317,729,17.06,14.23,36.47,99,94,150,53,97
"",Nukeproof,"안양시","2021-11-23 06:39:14",4175,546,17.24,14.87,31.99,105,108,146,51,101
"",Nukeproof,"수원시","2021-11-23 17:06:37",4322,674,17.11,14.25,35.68,112,108,147,51,122
"",Nukeproof,"안양시","2021-11-24 06:29:46",4269,702,17.31,14.6,36.87,104,120,152,52,128
"",Nukeproof,"수원시","2021-11-24 17:09:19",4078,763,16.89,14.91,37.52,94,105,140,49,111
"",Nukeproof,"안양시","2021-11-25 06:44:57",4082,475,17.07,15.06,38.84,102,"","",49,104
"",Nukeproof,"수원시","2021-11-25 17:08:08",4424,492,16.99,13.83,37.66,101,111,141,49,108
"",Nukeproof,"","2021-11-29 06:42:53",4269,586,17.31,14.6,42.0,94,126,161,51,97
"",Nukeproof,"수원시","2021-11-29 19:28:04",4109,424,17.03,14.92,38.18,102,129,159,51,120
"",Nukeproof,"","2021-12-03 06:37:42",4281,744,17.34,14.58,34.89,84,127,155,49,95
"",Nukeproof,"수원시","2021-12-03 17:09:11",4403,456,17.05,13.94,37.79,89,120,150,52,106
"",Nukeproof,"안양시","2021-12-05 14:19:02",3589,6032,19.88,19.94,34.76,150,114,152,32,104
"",Nukeproof,"안양시","2021-12-06 06:54:12",4435,712,17.41,14.13,34.63,100,117,155,53,98
"",Nukeproof,"","2021-12-06 17:23:17",4063,588,17.06,15.12,37.0,91,125,154,49,102
"",Nukeproof,"","2021-12-07 06:41:15",4166,612,17.24,14.9,37.26,102,"","",49,97
"",Nukeproof,"","2021-12-07 17:22:19",4251,622,17.13,14.5,35.94,93,"","",48,111
"",Nukeproof,"","2021-12-08 06:29:17",4046,576,17.18,15.29,35.42,96,127,163,52,98
"",Nukeproof,"","2021-12-08 17:38:48",3893,636,17.07,15.78,35.15,97,129,158,50,144
"",Nukeproof,"","2021-12-09 06:38:57",4018,710,17.3,15.5,33.84,99,119,159,52,118
"",Nukeproof,"","2021-12-09 17:05:26",4006,631,17.09,15.36,34.1,94,125,154,49,97
"",Nukeproof,"","2021-12-10 06:15:41",4009,682,17.27,15.51,38.45,103,125,151,52,96
"",Nukeproof,"","2021-12-10 17:08:55",4179,719,17.01,14.65,37.52,93,96,145,49,130
"",Nukeproof,"","2021-12-12 14:18:01",6096,2208,22.49,13.28,29.1,323,116,155,45,111
"",Nukeproof,"","2021-12-14 06:30:41",4170,712,17.32,14.95,39.63,112,113,140,52,120
"",Nukeproof,"","2021-12-14 17:19:45",4201,865,17.09,14.64,32.78,96,91,136,46,126
"",Nukeproof,"","2021-12-15 06:29:45",4192,710,17.25,14.81,34.76,105,116,144,49,110
"",Nukeproof,"","2021-12-15 17:31:02",4415,738,17.2,14.03,34.63,99,102,134,47,106
"",Nukeproof,"","2021-12-16 06:27:19",3935,795,17.23,15.76,37.13,108,103,152,52,106
"",Nukeproof,"","2021-12-16 17:10:03",4199,456,16.94,14.53,33.57,96,103,133,48,120
"",Nukeproof,"","2021-12-20 06:56:16",4184,806,17.29,14.88,37.92,125,112,136,47,95
"",Nukeproof,"","2021-12-20 17:27:03",4287,646,17.11,14.37,35.81,102,98,132,45,146
"",Nukeproof,"","2021-12-21 06:39:33",4021,546,17.26,15.45,31.86,80,115,141,50,130
"",Nukeproof,"","2021-12-21 17:26:02",4317,490,17.1,14.26,37.0,83,104,132,47,107
"",Nukeproof,"","2021-12-22 06:20:31",4203,780,17.38,14.88,32.26,105,92,129,49,106
"",Nukeproof,"","2021-12-22 17:13:07",4311,988,17.2,14.36,36.47,92,101,133,46,132
"",Nukeproof,"","2021-12-23 06:46:00",4119,546,17.36,15.17,36.08,102,102,135,51,106
"",Nukeproof,"","2021-12-23 17:01:06",4243,776,17.19,14.59,38.58,91,101,132,47,111
"",Nukeproof,"","2021-12-29 06:50:43",4104,628,16.32,14.32,30.3,116,"","","",""
"",Roller,"수원시","2022-01-03 12:08:40",2053,259,15.06,26.41,33.98,0,"","",82,106
"",Roller,"수원시","2022-01-04 13:45:51",2027,411,15.07,26.77,32.74,0,121,141,83,102
"",Nukeproof,"수원시","2022-01-05 14:04:18",2767,650,20.12,26.17,31.07,0,112,144,77,91
"",Nukeproof,"수원시","2022-01-10 16:59:52",2111,848,15.38,26.24,33.84,0,117,132,77,101
"",Roller,"수원시","2022-01-11 14:40:36",2894,947,20.31,25.27,32.49,0,115,131,79,103
"",Roller,"수원시","2022-01-13 14:43:01",2877,825,20.05,25.09,32.37,0,121,173,78,95
"",Nukeproof,"수원시","2022-01-18 14:10:12",2107,272,15.09,25.79,34.63,0,"","",76,105
"",Nukeproof,"수원시","2022-01-19 13:22:35",2110,343116,13.61,23.22,30.68,0,"","",66,89
"",Wilier,"서초구","2022-01-23 14:16:25",5722,2585,30.5,19.19,37.39,101,"","",55,111
"",Roller,"수원시","2022-01-25 14:28:27",1581,222,9.89,22.53,27.51,0,"","",61,79
"",Roller,"","2022-01-27 16:17:17",278,39033,1.59,20.57,24.03,0,"","",56,66
"",Roller,"수원시","2022-02-04 15:20:58",3513,36,20.05,20.55,38.09,0,"","",55,102
"",Roller,"수원시","2022-02-07 10:49:19",2154,32,12.98,21.7,26.51,0,"","",58,71
"",Roller,"수원시","2022-02-08 14:50:18",3533,18,20.1,20.48,26.27,0,"","",55,70
"",Roller,"수원시","2022-02-09 15:07:09",3421,158,20.02,21.07,26.02,0,"","",56,70
"",Roller,"수원시","2022-02-10 15:31:34",2117,249,13.71,23.31,27.01,0,"","",61,74
"",Roller,"수원시","2022-02-14 11:32:36",3617,122,21.63,21.53,33.73,0,"","",57,89
"",Nukeproof,"수원시","2022-02-15 14:22:48",3357,140,20.1,21.56,31.07,0,"","",54,79
"",Roller,"수원시","2022-02-16 15:11:25",3532,30,20.04,20.43,26.73,0,"","",54,78
"",Roller,"수원시","2022-02-17 14:43:24",2298,212,12.88,20.19,25.41,0,"","",54,66
"",Roller,"수원시","2022-02-18 14:49:18",2798,44,14.71,18.92,23.28,0,"","",50,63
"",Nukeproof,"안양시","2022-02-19 09:07:10",5434,1142,21.01,13.92,30.68,227,"","","",""
"",Roller,"수원시","2022-02-22 16:17:18",62,68,0.18,10.58,11.82,0,"","","",""
"",Roller,"수원시","2022-02-22 16:20:15",1406,563,7.52,19.25,22.99,0,"","",47,58
"",Roller,"수원시","2022-02-23 15:31:48",3192,460,20.03,22.59,25.77,0,"","",60,69
"",Roller,"수원시","2022-02-25 15:30:41",3001,0,17.08,20.48,39.59,0,"","",55,105
"",Nukeproof,"안양시","2022-03-02 06:45:17",4246,904,17.37,14.73,30.41,124,"","",47,142
"",Nukeproof,"수원시","2022-03-02 17:06:25",4367,704,17.48,14.41,37.92,84,"","",43,95
"",Nukeproof,"안양시","2022-03-03 06:43:54",4259,787,17.44,14.74,37.79,92,"","",48,142
"",Nukeproof,"수원시","2022-03-03 18:07:49",4292,736,17.22,14.44,36.87,103,"","",45,102
"",Nukeproof,"안양시","2022-03-04 06:48:31",4261,651,17.38,14.68,34.63,117,"","",49,103
"",Nukeproof,"수원시","2022-03-04 17:04:18",4363,657,17.11,14.12,34.36,94,"","",47,134
"",Nukeproof,"안양시","2022-03-07 06:56:07",4222,786,17.41,14.85,33.44,105,"","",49,112
"",Nukeproof,"수원시","2022-03-07 17:16:11",4458,659,17.17,13.87,34.1,105,"","",43,132
"",Nukeproof,"안양시","2022-03-08 06:43:49",4395,1597,17.49,14.33,29.36,144,"","",46,112
"",Nukeproof,"수원시","2022-03-08 17:05:08",4593,844,17.2,13.48,36.47,91,"","",44,112
"",Nukeproof,"안양시","2022-03-11 06:19:57",4250,724,17.19,14.56,32.26,98,"","",48,120
"",Nukeproof,"수원시","2022-03-11 17:41:44",4641,1049,17.26,13.39,33.84,79,"","",41,129
"",Nukeproof,"서초구","2022-03-12 08:59:48",549,310,1.52,9.98,20.54,0,"","",7,121
"",Nukeproof,"서초구","2022-03-12 09:14:26",6374,8806,28.96,16.35,30.02,63,"","",47,98
"",Nukeproof,"안양시","2022-03-15 06:48:44",4337,928,17.39,14.43,31.47,104,"","",47,96
"",Nukeproof,"수원시","2022-03-15 17:10:08",4112,705,16.93,14.82,37.26,107,"","",41,123
"",Nukeproof,"안양시","2022-03-16 06:43:04",4365,742,17.23,14.21,33.31,106,"","",46,104
"",Nukeproof,"수원시","2022-03-16 17:14:26",4241,944,17.15,14.56,38.31,91,"","",43,117
"",Nukeproof,"안양시","2022-03-17 06:37:22",4382,682,17.3,14.21,33.05,113,"","",43,123
"",Nukeproof,"수원시","2022-03-17 17:08:31",4197,854,17.13,14.69,36.21,100,"","",39,118
"",Nukeproof,"안양시","2022-03-21 06:45:00",4291,443,17.18,14.41,33.31,92,"","",47,108
"",Nukeproof,"수원시","2022-03-21 17:39:34",4419,842,17.15,13.98,35.42,97,"","",42,120
"",Nukeproof,"안양시","2022-03-23 06:58:55",4220,758,17.31,14.77,34.23,113,"","",47,91
"",Nukeproof,"수원시","2022-03-23 17:17:39",4355,967,17.28,14.28,36.47,129,"","",46,130
"",Nukeproof,"안양시","2022-03-25 07:02:13",3983,647,16.68,15.08,35.42,91,"","",49,95
"",Nukeproof,"수원시","2022-03-25 17:11:19",4232,667,17.09,14.53,35.02,93,"","",42,107
"",Nukeproof,"안양시","2022-03-28 06:42:47",4226,1071,17.39,14.81,32.52,104,"","",43,111
"",Nukeproof,"수원시","2022-03-28 17:22:17",4442,624,17.13,13.88,38.71,94,"","",40,128
"",Nukeproof,"안양시","2022-03-30 07:07:17",4414,839,17.23,14.05,32.92,118,"","",42,93
"",Nukeproof,"수원시","2022-03-30 17:04:28",5115,41470,18.49,13.01,37.39,132,"","",34,140
"",Nukeproof,"안양시","2022-03-31 06:49:54",4280,1056,17.36,14.6,34.63,107,"","",42,93
"",Nukeproof,"수원시","2022-03-31 17:07:16",4306,846,17.26,14.43,32.65,90,"","",44,98
"",Nukeproof,"안양시","2022-04-01 06:34:18",4128,729,17.27,15.06,32.78,109,"","",49,138
"",Nukeproof,"수원시","2022-04-01 18:01:41",4035,562,17.08,15.24,32.92,103,"","",48,111
"",Nukeproof,"안양시","2022-04-04 07:09:20",4332,406,17.22,14.31,31.6,117,"","",47,92
"",Nukeproof,"수원시","2022-04-04 17:17:01",4396,956,17.2,14.09,36.47,94,"","",43,103
"",Nukeproof,"안양시","2022-04-05 06:51:14",4454,691,17.35,14.02,33.44,116,"","",46,95
"",Nukeproof,"수원시","2022-04-05 18:35:34",4520,785,17.2,13.7,34.23,84,"","",43,126
"",Nukeproof,"안양시","2022-04-06 06:36:09",4344,450,17.2,14.26,28.97,109,"","",49,112
"",Nukeproof,"수원시","2022-04-06 17:17:34",4508,694,17.14,13.69,36.08,90,"","",44,102
"",Nukeproof,"안양시","2022-04-12 06:29:27",4296,742,17.53,14.68,32.13,104,"","",43,94
"",Nukeproof,"수원시","2022-04-12 17:56:03",4297,501,17.01,14.25,37.92,82,"","",45,133
"",Nukeproof,"안양시","2022-04-14 06:38:34",4102,696,17.24,15.13,32.65,90,"","",48,94
"",Nukeproof,"수원시","2022-04-14 18:23:19",3984,430,17.08,15.43,38.18,91,"","",44,106
"",Nukeproof,"안양시","2022-04-15 06:42:52",4174,574,17.21,14.85,33.18,116,"","",48,98
"",Nukeproof,"수원시","2022-04-15 17:15:22",4606,868,17.14,13.4,36.21,75,"","",43,129
"",Nukeproof,"안양시","2022-04-16 06:56:08",9964,7984,45.32,16.37,38.71,155,"","",52,104
"",Nukeproof,"안양시","2022-04-18 06:40:00",4572,733,17.28,13.6,30.55,112,"","",47,90
"",Nukeproof,"수원시","2022-04-18 17:28:03",4397,600,17.01,13.93,37.26,92,"","",41,118
"",Nukeproof,"안양시","2022-04-19 06:36:40",4163,702,17.33,14.98,32.52,97,"","",45,97
"",Nukeproof,"수원시","2022-04-19 17:11:01",4302,1252,17.12,14.33,35.94,92,"","",41,107
"",Nukeproof,"안양시","2022-04-20 06:34:04",4032,795,17.08,15.25,33.18,103,90,122,48,115
"",Nukeproof,"수원시","2022-04-20 17:05:36",4157,572,17.03,14.75,39.63,77,100,131,43,95
"",Nukeproof,"안양시","2022-04-21 06:46:57",4137,837,17.25,15.01,31.34,97,104,133,46,94
"",Nukeproof,"수원시","2022-04-21 17:11:26",4117,600,16.96,14.83,39.1,82,95,124,44,140
"",Nukeproof,"안양시","2022-04-22 06:22:40",4063,603,17.23,15.27,32.26,112,92,126,50,98
"",Nukeproof,"수원시","2022-04-22 17:06:21",4164,541,17.0,14.69,40.16,88,99,126,42,112
"",Wilier,"안양시","2022-04-23 16:30:27",5339,2042,22.27,15.02,34.23,241,106,155,41,92
"",Nukeproof,"안양시","2022-04-25 06:37:09",4191,685,17.14,14.73,29.89,88,107,130,44,123
"",Nukeproof,"수원시","2022-04-25 17:03:30",6044,1039,25.6,15.25,37.92,89,101,131,41,111
"",Nukeproof,"안양시","2022-04-26 06:36:45",4130,766,17.14,14.94,31.73,114,"","",44,91
"",Nukeproof,"수원시","2022-04-26 17:19:12",4453,768,17.07,13.8,29.23,78,"","",37,111
"",Nukeproof,"안양시","2022-04-27 06:07:34",4145,508,17.06,14.82,28.83,104,95,125,46,90
"",Nukeproof,"수원시","2022-04-27 17:07:14",4038,458,17.03,15.18,39.24,92,98,129,42,115
"",Nukeproof,"","2022-05-02 06:40:10",4199,812,17.2,14.75,33.71,92,102,124,44,93
"",Nukeproof,"수원시","2022-05-02 19:02:21",4294,822,17.09,14.33,31.47,80,93,126,40,134
"",Nukeproof,"안양시","2022-05-07 09:38:02",5340,1288,21.74,14.66,33.31,215,104,147,48,118
"",Nukeproof,"안양시","2022-05-11 06:10:04",4236,774,17.18,14.6,32.39,106,107,134,44,124
"",Nukeproof,"수원시","2022-05-11 17:02:23",4333,635,16.98,14.11,37.39,87,101,138,38,94
"",Nukeproof,"안양시","2022-05-13 06:37:19",4053,776,17.27,15.34,30.28,110,112,143,41,128
"",Nukeproof,"수원시","2022-05-13 17:03:55",4205,640,16.96,14.52,32.39,87,98,123,38,99
"",Nukeproof,"남양주시","2022-05-14 07:19:29",6872,3850,30.52,15.99,31.6,13,75,131,46,112
"",Nukeproof,"안양시","2022-05-16 06:38:08",4012,757,17.09,15.33,32.13,111,103,135,42,126
"",Nukeproof,"수원시","2022-05-16 17:45:42",4285,796,17.13,14.39,36.6,90,99,130,39,95
"",Nukeproof,"안양시","2022-05-17 06:28:10",4078,606,17.19,15.17,30.68,107,99,132,44,106
"",Nukeproof,"수원시","2022-05-17 17:10:45",4244,520,16.86,14.3,33.18,68,100,124,43,134
"",Nukeproof,"안양시","2022-05-18 06:11:13",4155,798,17.17,14.87,36.73,106,96,131,47,120
"",Nukeproof,"수원시","2022-05-18 18:57:11",3992,620,16.66,15.03,40.68,82,107,139,42,138
"",Nukeproof,"안양시","2022-05-19 06:21:49",4215,1051,17.43,14.89,32.26,118,104,124,45,94
"",Nukeproof,"수원시","2022-05-19 17:01:41",4394,760,17.04,13.96,36.08,93,95,122,40,130
"",Nukeproof,"안양시","2022-05-20 06:17:51",4275,1212,16.81,14.15,31.07,83,92,132,44,106
"",Nukeproof,"수원시","2022-05-20 17:02:47",4205,882,17.01,14.56,39.89,105,103,129,42,101
"",Nukeproof,"양평군","2022-05-21 07:23:16",9606,5336,40.8,15.29,33.31,100,92,143,42,145
"",Nukeproof,"안양시","2022-05-23 06:33:36",4395,757,17.08,14.0,31.34,101,105,132,47,95
"",Nukeproof,"수원시","2022-05-23 17:26:47",4416,1151,17.17,13.99,39.63,93,95,125,41,89
"",Nukeproof,"안양시","2022-05-24 06:41:53",4380,746,17.24,14.17,34.76,94,99,125,43,87
"",Nukeproof,"안양시","2022-05-26 06:27:44",4144,708,17.08,14.84,37.26,93,103,140,9,89
"",Nukeproof,"수원시","2022-05-26 17:04:39",4186,471,16.93,14.56,37.13,88,98,125,"",""
"",Nukeproof,"안양시","2022-05-30 06:23:40",4534,789,17.16,13.62,33.84,101,103,128,"",""
"",Nukeproof,"수원시","2022-05-30 17:43:05",4516,559,17.04,13.59,33.84,89,96,126,"",""
"",Nukeproof,"안양시","2022-05-31 06:44:52",4325,804,17.15,14.28,30.94,108,104,135,"",""
"",Nukeproof,"안양시","2022-06-02 06:35:40",4267,852,17.18,14.49,30.81,103,115,143,45,92
"",Nukeproof,"","2022-06-02 17:05:17",4392,882,16.95,13.89,34.76,92,98,136,43,134
"",Nukeproof,"안양시","2022-06-03 06:29:26",4119,567,17.01,14.87,34.36,92,110,144,46,98
"",Nukeproof,"수원시","2022-06-03 17:06:00",4419,801,17.18,14.0,40.03,81,98,125,39,102
"",Nukeproof,"안양시","2022-06-07 06:27:02",4357,761,17.11,14.14,37.79,110,114,137,49,95
"",Nukeproof,"수원시","2022-06-07 17:04:03",4509,818,17.39,13.88,35.81,125,100,145,43,98
"",Nukeproof,"안양시","2022-06-09 06:29:08",3973,1612,17.25,15.63,36.08,129,115,148,46,98
"","Santa Cruz","수원시","2022-06-09 17:39:30",3898,601,16.59,15.32,37.1,82,107,134,42,102
"","Santa Cruz","안양시","2022-06-13 06:30:04",3920,782,16.74,15.37,36.97,104,107,140,45,115
"","Santa Cruz","수원시","2022-06-13 17:59:46",4269,1073,17.77,14.99,40.95,71,104,132,37,142
"","Santa Cruz","안양시","2022-06-14 06:24:19",3733,748,16.77,16.17,33.36,86,117,145,49,102
"","Santa Cruz","수원시","2022-06-14 18:17:58",3771,458,16.56,15.81,39.21,105,100,134,42,99
"","Santa Cruz","안양시","2022-06-16 06:51:20",3947,564,16.68,15.22,38.09,104,114,137,49,104
"","Santa Cruz","수원시","2022-06-16 17:22:43",3898,614,16.53,15.27,37.84,111,102,126,44,101
"","Santa Cruz","안양시","2022-06-17 06:26:44",3784,538,16.62,15.81,34.98,98,111,143,49,128
"","Santa Cruz","수원시","2022-06-17 18:30:56",3893,676,16.64,15.38,40.46,80,100,134,43,108
"","Santa Cruz","안양시","2022-06-20 06:14:52",3779,214,16.52,15.74,34.73,93,115,145,51,111
"","Santa Cruz","수원시","2022-06-20 09:57:50",3800,672,16.42,15.56,36.6,90,107,131,44,114
"","Santa Cruz","안양시","2022-06-21 06:40:01",3567,488,16.43,16.58,39.59,108,116,148,51,114
"","Santa Cruz","세종특별자치시","2022-06-22 12:19:14",151674,6,0.05,0.0,11.83,0,83,100,"",76
"","Santa Cruz","안양시","2022-06-24 06:27:26",3734,929,16.7,16.1,31.37,107,121,151,51,110
"","Santa Cruz","수원시","2022-06-24 17:14:42",3944,728,16.51,15.07,36.72,88,106,135,42,108
"","Santa Cruz","수원시","2022-06-27 17:10:15",3856,604,16.72,15.61,39.09,100,107,133,43,106
"","Santa Cruz","안양시","2022-06-28 06:38:57",4003,710,16.63,14.96,31.87,120,115,143,51,117
"","Santa Cruz","수원시","2022-06-28 18:26:44",3968,542,16.75,15.19,37.47,87,104,134,40,105
"","Santa Cruz","안양시","2022-07-04 06:38:35",4131,972,17.12,14.92,37.47,81,118,147,42,102
"","Santa Cruz","수원시","2022-07-04 17:15:04",4157,652,16.48,14.27,38.96,90,114,139,41,101
"","Santa Cruz","안양시","2022-07-05 06:31:13",4219,795,16.7,14.25,32.24,96,111,139,45,112
"","Santa Cruz","","2022-07-05 17:13:24",4082,699,16.59,14.63,36.47,81,111,140,42,102
"","Santa Cruz","안양시","2022-07-11 06:33:54",4217,672,16.74,14.29,32.49,96,123,151,47,105
"","Santa Cruz","수원시","2022-07-11 17:24:12",4142,926,16.33,14.19,35.73,83,108,130,44,117
"","Santa Cruz","안양시","2022-07-15 06:26:27",4015,554,16.32,14.63,36.47,101,118,147,49,107
"",Nukeproof,"","2022-07-15 17:26:02",4427,559,17.21,14.0,39.63,92,108,135,43,125
"",Nukeproof,"","2022-07-18 06:21:37",4165,634,17.4,15.04,30.28,102,122,151,45,97
"","Santa Cruz","수원시","2022-07-18 17:42:29",4158,934,16.83,14.57,38.22,81,116,145,38,124
"","Santa Cruz","안양시","2022-07-19 06:34:47",3906,860,16.8,15.48,37.34,95,126,153,49,149
"","Santa Cruz","수원시","2022-07-19 16:56:45",4133,683,16.68,14.53,38.09,70,115,143,42,139
"","Santa Cruz","안양시","2022-07-22 06:32:13",3841,550,16.86,15.81,33.86,101,121,151,46,102
"","Santa Cruz","안양시","2022-07-25 06:43:33",3804,604,16.82,15.92,33.86,103,125,152,45,111
"","Santa Cruz","수원시","2022-07-25 17:45:34",3847,911,16.45,15.39,40.46,91,118,146,42,108
"","Santa Cruz","안양시","2022-07-26 06:43:27",3884,704,16.52,15.31,35.23,102,121,149,46,117
"","Santa Cruz","수원시","2022-07-26 17:14:01",3930,638,16.47,15.09,41.33,83,121,151,40,100
"","Santa Cruz","안양시","2022-07-27 06:36:29",4019,634,16.56,14.83,32.61,109,122,148,44,113
"","Santa Cruz","","2022-07-27 17:07:42",4257,855,17.73,14.99,35.85,94,111,137,39,103
"","Santa Cruz","안양시","2022-08-14 15:42:09",6095,5146,22.15,13.08,28.88,338,122,168,37,96
"","Santa Cruz","안양시","2022-08-16 06:48:31",4149,901,16.69,14.49,31.99,74,110,131,42,114
"","Santa Cruz","수원시","2022-08-16 17:03:22",4403,672,16.63,13.6,38.47,85,104,128,37,105
"","Santa Cruz","안양시","2022-08-18 06:59:02",3968,606,16.71,15.16,35.6,102,113,137,43,109
"","Santa Cruz","수원시","2022-08-18 17:09:02",4038,658,16.52,14.73,44.32,93,105,130,37,101
"","Santa Cruz","용담리","2022-09-03 08:31:30",8780,1934,36.06,14.78,36.97,55,92,111,36,115
"","Santa Cruz","남양주시","2022-09-12 08:02:59",7074,3828,30.37,15.46,32.12,22,97,137,37,114
"","Santa Cruz","안양시","2022-09-13 06:49:19",4003,616,16.76,15.07,37.47,90,113,135,45,109
"","Santa Cruz","수원시","2022-09-13 18:06:09",3980,663,16.8,15.2,35.6,81,107,143,42,105
